,name,symbol,price,volume,mkt_cap,coingecko_rank,vol / mkt_cap,dominance
0,Bitcoin,BTC,0,23347643101.0,642651306145.0,1,0.036,0.4223465526
1,Ethereum,ETH,0,23483872601.0,272495122525.0,2,0.086,0.1790821469
2,Tether,USDT,0,48835699694.0,62629227118.0,3,0.78,0.0411595494
3,Binance Coin,BNB,0,1769707615.0,51572560198.0,4,0.034,0.0338931747
4,Cardano,ADA,0,1606645078.0,45317351301.0,5,0.035,0.0297822893
5,XRP,XRP,0,1579777410.0,30519560525.0,6,0.052,0.0200572706
6,Dogecoin,DOGE,0,1045859698.0,30113174111.0,7,0.035,0.0197901959
7,USD Coin,USDC,0,1706851404.0,25827942531.0,8,0.066,0.0169739677
8,Polkadot,DOT,0,1101403045.0,17218959292.0,9,0.064,0.0113161959
9,Uniswap,UNI,0,448106088.0,11814125258.0,10,0.038,0.0077641717
10,Binance USD,BUSD,0,3099818912.0,10750081253.0,11,0.288,0.0070648884
11,Solana,SOL,0,715048760.0,10164513521.0,12,0.07,0.0066800568
12,Bitcoin Cash,BCH,0,3673127380.0,9673489772.0,13,0.38,0.006357359
13,Litecoin,LTC,0,2147803853.0,9269140708.0,14,0.232,0.0060916232
14,Chainlink,LINK,0,955298455.0,8835738823.0,15,0.108,0.0058067941
15,Polygon,MATIC,0,630968281.0,7207050977.0,16,0.088,0.0047364303
16,Ethereum Classic,ETC,0,3614309431.0,6908171249.0,17,0.523,0.0045400084
17,Wrapped Bitcoin,WBTC,0,344894724.0,6776380310.0,18,0.051,0.0044533962
18,Theta Network,THETA,0,268794607.0,6544265297.0,19,0.041,0.0043008516
19,Internet Computer,ICP,0,192323768.0,6307545653.0,20,0.03,0.0041452809
20,Stellar,XLM,0,313811942.0,6056314535.0,21,0.052,0.0039801733
21,VeChain,VET,0,551934479.0,5516153446.0,22,0.1,0.0036251827
22,Dai,DAI,0,308151391.0,5245029071.0,23,0.059,0.0034470014
23,Filecoin,FIL,0,225953878.0,4905731583.0,24,0.046,0.0032240171
24,TRON,TRX,0,912074705.0,4665119746.0,25,0.196,0.0030658885
25,Shiba Inu,SHIB,0,394947454.0,4313374029.0,26,0.092,0.0028347233
