name,symbol,price,volume,mkt_cap,coingecko_rank,vol / mkt_cap,dominance,num_holders,whitepaper,coingecko_likes,fully_diluted_valuation,meme_coin
Bitcoin,BTC,33068.0,23730290323.0,632304463226.0,1.0,0.038,0.41554667,,,559287.0,696701281561.0,-1
Ethereum,ETH,2027.48,22856324426.0,249230896676.0,2.0,0.092,0.1637930383,,1.0,531310.0,,-1
Tether,USDT,1.0,49736117302.0,62525559649.0,3.0,0.795,0.0410914197,,1.0,93977.0,62367423663.0,-1
Binance Coin,BNB,315.55,1198425965.0,48606862826.0,4.0,0.025,0.0319441363,,1.0,257025.0,53992872240.0,-1
Cardano,ADA,1.31,1463114735.0,43040682061.0,5.0,0.034,0.028286076,,1.0,355233.0,58973219931.0,-1
XRP,XRP,0.629109,2034464755.0,29306328454.0,6.0,0.069,0.0192599419,,1.0,276676.0,63100590831.0,-1
Dogecoin,DOGE,0.202789,2792551116.0,28945269771.0,7.0,0.096,0.0190226563,,1.0,273393.0,,1
USD Coin,USDC,0.998819,2605100842.0,26143979075.0,8.0,0.1,0.017181665,973375.0,1.0,30331.0,26369453776.51676,-1
Polkadot,DOT,14.84,563865915.0,15775628674.0,9.0,0.036,0.0103676478,,1.0,231864.0,16183749801.52,-1
Uniswap,UNI,19.45,341052333.0,10905719634.0,10.0,0.031,0.007167173,251495.0,,137846.0,19510948248.0,-1
Binance USD,BUSD,0.998957,2705858992.0,10727733092.0,11.0,0.252,0.0070502013,52534.0,,23652.0,10345869275.850788,-1
Bitcoin Cash,BCH,30.77,3537503328.0,9474614600.0,12.0,0.373,0.0062266594,,1.0,117065.0,15083551884.0,-1
Solana,SOL,481.59,462186864.0,9055830397.0,13.0,0.051,0.005951437,,,94854.0,10147533670.0,-1
Litecoin,LTC,133.26,1890875283.0,8981759556.0,14.0,0.211,0.0059027581,,,177836.0,11193840000.0,-1
Chainlink,LINK,17.56,767095598.0,8125058807.0,15.0,0.094,0.0053397395,,1.0,207650.0,17624283052.0,-1
Polygon,MATIC,,523457743.0,6636827954.0,16.0,0.079,0.0043616832,,,,,-1
Wrapped Bitcoin,WBTC,47.61,382621523.0,6609441744.0,17.0,0.058,0.0043436852,,,65416.0,10031427000.0,-1
Ethereum Classic,ETC,33202.0,3538586158.0,6435511496.0,18.0,0.55,0.0042293792,,1.0,7739.0,6526167394.0,-1
Theta Network,THETA,5.54,261747338.0,6087769680.0,19.0,0.043,0.0040008454,,1.0,87900.0,5540000000.0,-1
Stellar,XLM,37.05,411994004.0,5810893616.0,20.0,0.071,0.0038188841,,1.0,40114.0,17441364754.0,-1
Internet Computer,ICP,0.239673,197622023.0,5552981043.0,21.0,0.036,0.0036493856,,,151172.0,12025008276.0,-1
Dai,DAI,0.075644601588,302496915.0,5262567240.0,22.0,0.057,0.0034585274,,,191635.0,6559342686.826448,-1
VeChain,VET,1.0,560579887.0,5017559294.0,23.0,0.112,0.0032975096,46084.0,1.0,21134.0,5260996345.0,-1
Filecoin,FIL,52.22,240558639.0,4749135672.0,24.0,0.051,0.0031211032,,1.0,42809.0,103369166243.0,-1
TRON,TRX,0.060444866292,909156108.0,4447501535.0,25.0,0.204,0.0029228711,50.0,1.0,129477.0,6095909725.165087,-1
cUSDC,CUSDC,7.511422e-06,874643556.0,4100209178.0,26.0,0.213,0.0026946327,,,187700.0,7511422000.0,-1
EOS,EOS,293.23,2836580938.0,4085702317.0,27.0,0.694,0.0026850989,,1.0,88770.0,4707092076.0,-1
Shiba Inu,SHIB,209.37,320741246.0,3976965252.0,28.0,0.081,0.0026136375,,,74403.0,,1
Aave,AAVE,4.14,582430899.0,3883534723.0,29.0,0.15,0.0025522355,,1.0,70281.0,,-1
Monero,XMR,13.4,156172111.0,3826427467.0,30.0,0.041,0.002514705,,1.0,87016.0,,-1
Cosmos,ATOM,0.022118556023,621511836.0,3642344569.0,31.0,0.171,0.0023937268,,1.0,3143.0,4309531248.946855,-1
Terra,LUNA,0.12321,458226443.0,3344800282.0,32.0,0.137,0.0021981825,,1.0,73668.0,3728705916.99132,-1
Crypto.com Coin,CRO,8.02,50002250.0,3024116485.0,33.0,0.017,0.0019874311,107093.0,1.0,66583.0,7992505017.96,-1
