,name,num_holders
0,Tether USD (USDT),"3,267,088"
1,BNB (BNB),"315,730"
2,USD Coin (USDC),"973,375"
3,HEX (HEX),"222,504"
4,Uniswap (UNI),"251,495"
5,Binance USD (BUSD),"52,534"
6,ChainLink Token (LINK),"553,638"
7,Wrapped BTC (WBTC),"32,444"
8,Theta Token (THETA),"28,144"
9,VeChain (VEN),"46,084"
10,Dai Stablecoin (DAI),"369,444"
11,Wrapped Filecoin (WFIL),96
12,TRON (TRX),50
13,Crypto.com Coin (CRO),"107,093"
14,Celsius (CEL),"27,417"
15,OKB (OKB),"44,501"
16,Amp (AMP),"24,657"
17,Compound (COMP),"172,167"
18,Bitfinex LEO Token (LEO),"2,053"
19,Maker (MKR),"81,798"
20,Graph Token (GRT),"63,983"
21,Wrapped UST Token (UST),"8,475"
22,HuobiToken (HT),"40,750"
23,Synthetix Network Token (SNX),"77,402"
24,SushiToken (SUSHI),"57,374"
25,BitTorrent (BTT),74
26,TrueUSD (TUSD),"45,525"
27,stETH (stETH),"9,558"
28,chiliZ (CHZ),"92,883"
29,Huobi BTC (HBTC),"3,296"
30,Telcoin (TEL),"38,984"
31,yearn.finance (YFI),"38,027"
32,XinFin XDCE (XDCE),"5,555"
33,EnjinCoin (ENJ),"123,413"
34,KuCoin Token (KCS),"3,750"
35,HoloToken (HOT),"107,385"
36,Quant (QNT),"19,336"
37,Zilliqa (ZIL),"24,631"
38,Wrapped Decentraland MANA (wMANA),0
39,FirstBlood (ST),"17,876"
40,BAT (BAT),"407,875"
41,Paxos Standard (PAX),"109,320"
42,Nexo (NEXO),"94,608"
43,HarmonyOne (ONE),187
44,Bancor (BNT),"37,612"
45,SushiBar (xSUSHI),"13,798"
46,Aave interest bearing CRV (aCRV),"1,904"
47,Fantom Token (FTM),"29,093"
48,OMG Network (OMG),"692,884"
49,ZRX (ZRX),"184,303"
50,SwissBorg (CHSB),"27,843"
51,UMA Voting Token v1 (UMA),"14,829"
52,NXM (NXM),"3,758"
53,HUSD (HUSD),"7,583"
54,IOSToken (IOST),"40,769"
55,Voyager (VGX),"30,614"
56,1INCH Token (1INCH),"65,618"
57,BitMax token (BTMX),742
58,Wrapped Celo (wCELO),122
59,Livepeer Token (LPT),"2,537,031"
60,renBTC (renBTC),"2,891"
61,Fei USD (FEI),"3,844"
62,Golem Network Token (GLM),"13,398"
63,Wootrade Network (WOO),"9,151"
64,LoopringCoin V2 (LRC),"85,698"
65,Compound Uniswap (cUNI),"2,422"
66,Pundi X Token (PUNDIX),"12,677"
67,Paxos Gold (PAXG),"11,186"
68,StatusNetwork (SNT),"86,702"
69,Gnosis (GNO),"11,360"
70,Balancer (BAL),"35,506"
71,Gemini dollar (GUSD),"6,265"
72,SAND (SAND),"18,833"
73,FEGtoken (FEG),"73,695"
74,UniBright (UBT),"23,959"
75,Injective Token (INJ),"11,866"
76,Synth sUSD (sUSD),"12,033"
77,DENT (DENT),"65,088"
78,BandToken (BAND),"29,533"
79,AlphaToken (ALPHA),"6,394"
80,WAX Token (WAX),"16,742"
81,OriginToken (OGN),"38,113"
82,Frax (FRAX),"1,235"
83,Token Prometeus Network (PROM),"2,140"
84,RLC (RLC),"19,096"
85,Ocean Token (OCEAN),"30,535"
86,Fetch (FET),"15,124"
87,SingularityNET Token (AGIX),"24,742"
88,Numeraire (NMR),"34,585"
89,StormX (STMX),"42,275"
90,Uquid Coin (UQC),"9,886"
91,Serum (SRM),"8,963"
92,Swipe (SXP),"27,930"
93,IoTeX Network (IOTX),"12,385"
94,Polymath (POLY),"98,938"
95,Orbs (ORBS),"6,893"
96,EthLend (LEND),"146,152"
97,FunFair (FUN),"85,205"
98,Energy Web Token Bridged (EWTB),"7,529"
99,CelerToken (CELR),"11,610"
100,Kyber Network Crystal v2 (KNC),"3,396"
101,Orchid (OXT),"36,017"
102,Rocket Pool (RPL),"12,470"
103,MCO (MCO),"29,137"
104,NKN (NKN),"15,467"
105,KEEP Token (KEEP),"9,108"
106,DODO bird (DODO),"10,455"
107,KyberNetwork (KNC),"88,805"
108,Tribe (TRIBE),"11,467"
109,Divi Exchange Token (DIVX),923
110,Melon Token (MLN),"5,401"
111,Aragon Network Token (ANT),"9,784"
112,Ampleforth Governance (FORTH),"25,610"
113,Storj (STORJ),"83,880"
114,LockTrip (LOC),"34,067"
115,Wrapped NXM (wNXM),"5,503"
116,Function X (FX),"5,842"
117,Metal (MTL),"12,171"
118,ZEON (ZEON),"33,195"
119,Ankr Eth2 Reward Bearing Certificate (aETHc),"1,188"
120,Smooth Love Potion (SLP),"10,393"
121,Bytom (BTM),"49,475"
122,QuarkChain Token (QKC),"9,431"
123,STASIS EURS Token (EURS),"4,008"
124,ALICE (ALICE),"1,223"
125,Reputation (REPv2),"8,165"
126,Trace (TRAC),"15,882"
127,ELF (ELF),"52,221"
128,Gitcoin (GTC),"17,913"
129,Crypto20 (C20),"12,097"
130,PowerLedger (POWR),"51,131"
131,Mainframe Token (MFT),"27,928"
132,Quickswap (QUICK),"4,584"
133,WPPToken (WPP),471
134,Automata (ATA),102
135,CarryToken (CRE),"17,815"
136,Populous (PPT),"28,532"
137,Frax Share (FXS),"3,512"
138,DATAcoin (DATA),"450,944"
139,Kin (KIN),"49,497"
140,Rari Governance Token (RGT),"9,497"
141,LON Token (LON),"49,416"
142,Tellor Tributes (TRB),"3,765"
143,Chroma (CHR),"7,447"
144,MXCToken (MXC),"11,830"
145,Pinakion (PNK),"8,891"
146,AION (AION),"11,904"
147,Dock (DOCK),"28,321"
148,Litentry (LIT),"5,093"
149,Refereum (RFR),"63,533"
150,DIAToken (DIA),"20,569"
151,Parsiq Token (PRQ),"16,659"
152,Lido DAO Token (LDO),"4,473"
153,Mask Network (MASK),"6,294"
154,Yuan Chain New (YCC),"3,933"
155,UnFederalReserveToken (eRSDL),"13,504"
156,bZx Protocol Token (BZRX),"8,018"
157,STPT (STPT),"13,338"
158,Marlin POND (POND),"6,103"
159,TrueFi (TRU),"3,567"
160,Rarible (RARI),"21,105"
161,Wrapped Celo USD (wCUSD),6
162,Cream ETH 2 (CRETH2),382
163,Illuvium (ILV),"3,755"
164,SENTINEL PROTOCOL (UPP),"18,815"
165,ETH 2x Flexible Leverage Index (ETH2x-FLI),"2,840"
166,LGO Token (LGO),"7,697"
167,Covalent Query Token (CQT),"1,525"
168,Covalent Token (COVA),"31,826"
169,Bluzelle (BLZ),"27,629"
170,CargoX (CXO),"3,631"
171,XY Oracle (XYO),"42,271"
172,BOSAGORA (BOA),"1,067"
173,STAKE (STAKE),"10,910"
