name,symbol,price,volume,market-cap,coingecko_rank,vol / mkt_cap,dominance,num_holders,whitepaper,Social Media,5 holders hold > 50% ?,Unlocked Liquidity Pool,scam
404,404,0,423.22,368.08,2942,1.15,2e-10,,,,,,
520,520,0,4173.31,0.0,-1,0.0,0.0,,,,,,
1337,1337,0,104.25,5170428.0,1140,0.0,3.4e-06,,,,,,
7/20/21,7/20/21,$0.00,0.0,-1.0,-1,0.0,0.0,306.0,True,False,True,True,True
#metahash,MHC,0,581293.0,32161941.0,521,0.018,2.11e-05,,,,,,
0.5x_long_altcoin_index_token,ALTHALF,0,0.0,0.0,-1,0.0,0.0,,,,,,
0.5x_long_balancer_token,BALHALF,0,0.0,0.0,-1,0.0,0.0,,,,,,
0.5x_long_bitcoin_cash_token,BCHHALF,0,3635.18,0.0,-1,0.0,0.0,,,,,,
0.5x_long_bitcoin_token,HALF,0,0.0,0.0,-1,0.0,0.0,,,,,,
0.5x_long_chainlink_token,LINKHALF,0,0.0,0.0,-1,0.0,0.0,,,,,,
0.5x_long_dogecoin_token,DOGEHALF,0,0.0,0.0,-1,0.0,0.0,,,,,,
0.5x_long_dragon_index_token,DRGNHALF,0,0.0,0.0,-1,0.0,0.0,,,,,,
0.5x_long_eos_token,EOSHALF,0,0.0,0.0,-1,0.0,0.0,,,,,,
0.5x_long_ethereum_token,ETHHALF,0,0.0,0.0,-1,0.0,0.0,,,,,,
0.5x_long_kyber_network_token,KNCHALF,0,11764.89,0.0,-1,0.0,0.0,,,,,,
0.5x_long_okb_token,OKBHALF,0,0.0,0.0,-1,0.0,0.0,,,,,,
0.5x_long_tezos_token,XTZHALF,0,0.0,0.0,-1,0.0,0.0,,,,,,
0.5x_long_theta_network_token,THETAHALF,0,0.0,0.0,-1,0.0,0.0,,,,,,
0.exchange,ZERO,0,19857.13,8222772.0,930,0.002,5.4e-06,,,,,,
01coin,ZOC,0,7510.1,16770.38,2818,0.448,1.1e-08,,,,,,
0cash,ZCH,0,71.69,0.0,-1,0.0,0.0,,,,,,
0chain,ZCN,0,310699.0,20076689.0,651,0.015,1.32e-05,,,,,,
0x,ZRX,0,137069964.0,677449658.0,99,0.202,0.0004452158,,,,,,
0x_nodes,BIOS,0,156698.0,0.0,-1,0.0,0.0,,,,,,
0xbitcoin,0XBTC,0,566244.0,4253328.0,1208,0.133,2.8e-06,,,,,,
0xcert,ZXC,0,48031.0,1060053.0,1775,0.045,6.97e-07,,,,,,
0xcharts,0XC,0,371.63,0.0,-1,0.0,0.0,,,,,,
100xcoin,100X,0,126267.0,0.0,-1,0.0,0.0,,,,,,
10x.gg,XGG,0,4457.63,591344.0,2019,0.008,3.89e-07,,,,,,
12ships,TSHP,0,36077.0,0.0,-1,0.0,0.0,,,,,,
1ai,1AI,0,0.0,0.0,-1,0.0,0.0,,,,,,
1inch,1INCH,0,57213297.0,482789346.0,121,0.119,0.0003172862,,,,,,
1million_token,1MT,0,27.22,144673.0,2436,0.0,9.51e-08,,,,,,
1millionnfts,1MIL,0,167234.0,0.0,-1,0.0,0.0,,,,,,
1world,1WO,0,8245.01,1991215.0,1520,0.004,1.31e-06,,,,,,
1x_short_algorand_token,ALGOHEDGE,0,321.18,0.0,-1,0.0,0.0,,,,,,
1x_short_bitcoin_cash_token,BCHHEDGE,0,0.0,0.0,-1,0.0,0.0,,,,,,
1x_short_bitcoin_token,HEDGE,0,21312.0,0.0,-1,0.0,0.0,,,,,,
1x_short_defi_index_token,DEFIHEDGE,0,0.0,0.0,-1,0.0,0.0,,,,,,
1x_short_dogecoin_token,DOGEHEDGE,0,870.1,0.0,-1,0.0,0.0,,,,,,
1x_short_eos_token,EOSHEDGE,0,87.31,0.0,-1,0.0,0.0,,,,,,
1x_short_ethereum_token,ETHHEDGE,0,3331.86,0.0,-1,0.0,0.0,,,,,,
1x_short_litecoin_token,LTCHEDGE,0,0.0,0.0,-1,0.0,0.0,,,,,,
1x_short_okb_token,OKBHEDGE,0,0.0,0.0,-1,0.0,0.0,,,,,,
1x_short_privacy_index_token,PRIVHEDGE,0,0.0,0.0,-1,0.0,0.0,,,,,,
1x_short_shitcoin_index_token,HEDGESHIT,0,0.0,0.0,-1,0.0,0.0,,,,,,
1x_short_theta_network_token,THETAHEDGE,0,0.0,0.0,-1,0.0,0.0,,,,,,
1x_short_trx_token,TRXHEDGE,0,0.0,0.0,-1,0.0,0.0,,,,,,
24_genesis_mooncats,GMC24,0,0.0,0.0,-1,0.0,0.0,,,,,,
2acoin,ARMS,0,216.45,131929.0,2461,0.002,8.67e-08,,,,,,
2based_finance,2BASED,0,0.0,0.0,-1,0.0,0.0,,,,,,
2crazynft,2CRZ,0,646707.0,0.0,-1,0.0,0.0,,,,,,
2gether,2GT,0,5359.16,2605964.0,1417,0.002,1.71e-06,,,,,,
2give,2GIVE,0,0.154454,140781.0,2444,0.0,9.25e-08,,,,,,
2goshi,2GOSHI,0,90.65,0.0,-1,0.0,0.0,,,,,,
2key.network,2KEY,0,109881.0,1465896.0,1660,0.075,9.63e-07,,,,,,
2local,2LC,0,10998.94,0.0,-1,0.0,0.0,,,,,,
2x2,2X2,0,4.81,71876.0,2591,0.0,4.72e-08,,,,,,
300fit,FIT,0,208728.0,0.0,-1,0.0,0.0,,,,,,
3x_long_algorand_token,ALGOBULL,0,61611.0,0.0,-1,0.0,0.0,,,,,,
3x_long_altcoin_index_token,ALTBULL,0,26370.0,0.0,-1,0.0,0.0,,,,,,
3x_long_bilira_token,TRYBBULL,0,0.0,0.0,-1,0.0,0.0,,,,,,
3x_long_bitcoin_cash_token,BCHBULL,0,26238.0,0.0,-1,0.0,0.0,,,,,,
3x_long_bitcoin_sv_token,BSVBULL,0,15640.48,0.0,-1,0.0,0.0,,,,,,
3x_long_bitcoin_token,BULL,0,1738868.0,0.0,-1,0.0,0.0,,,,,,
3x_long_bitmax_token_token,BTMXBULL,0,0.0,0.0,-1,0.0,0.0,,,,,,
3x_long_bnb_token,BNBBULL,0,311328.0,0.0,-1,0.0,0.0,,,,,,
3x_long_cardano_token,ADABULL,0,162326.0,0.0,-1,0.0,0.0,,,,,,
3x_long_chainlink_token,LINKBULL,0,369465.0,0.0,-1,0.0,0.0,,,,,,
3x_long_cosmos_token,ATOMBULL,0,84854.0,0.0,-1,0.0,0.0,,,,,,
3x_long_defi_index_token,DEFIBULL,0,105644.0,0.0,-1,0.0,0.0,,,,,,
3x_long_dogecoin_token,DOGEBULL,0,266996.0,0.0,-1,0.0,0.0,,,,,,
3x_long_dragon_index_token,DRGNBULL,0,18241.31,0.0,-1,0.0,0.0,,,,,,
3x_long_eos_token,EOSBULL,0,293201.0,0.0,-1,0.0,0.0,,,,,,
3x_long_ethereum_classic_token,ETCBULL,0,43730.0,0.0,-1,0.0,0.0,,,,,,
3x_long_ethereum_token,ETHBULL,0,3608909.0,26753252.0,574,0.135,1.76e-05,,,,,,
3x_long_exchange_token_index_token,EXCHBULL,0,10558.96,0.0,-1,0.0,0.0,,,,,,
3x_long_huobi_token_token,HTBULL,0,6280.19,0.0,-1,0.0,0.0,,,,,,
3x_long_leo_token,LEOBULL,0,19738.62,0.0,-1,0.0,0.0,,,,,,
3x_long_litecoin_token,LTCBULL,0,70489.0,0.0,-1,0.0,0.0,,,,,,
3x_long_maker_token,MKRBULL,0,50965.0,0.0,-1,0.0,0.0,,,,,,
3x_long_matic_token,MATICBULL,0,431455.0,0.0,-1,0.0,0.0,,,,,,
3x_long_midcap_index_token,MIDBULL,0,9910.84,0.0,-1,0.0,0.0,,,,,,
3x_long_okb_token,OKBBULL,0,2943.47,0.0,-1,0.0,0.0,,,,,,
3x_long_pax_gold_token,PAXGBULL,0,83.98,0.0,-1,0.0,0.0,,,,,,
3x_long_privacy_index_token,PRIVBULL,0,2803.35,0.0,-1,0.0,0.0,,,,,,
3x_long_shitcoin_index_token,BULLSHIT,0,6993.71,0.0,-1,0.0,0.0,,,,,,
3x_long_stellar_token,XLMBULL,0,66670.0,0.0,-1,0.0,0.0,,,,,,
3x_long_tether_gold_token,XAUTBULL,0,6.39,0.0,-1,0.0,0.0,,,,,,
3x_long_tether_token,USDTBULL,0,38.52,0.0,-1,0.0,0.0,,,,,,
3x_long_tezos_token,XTZBULL,0,201890.0,0.0,-1,0.0,0.0,,,,,,
3x_long_theta_network_token,THETABULL,0,100596.0,0.0,-1,0.0,0.0,,,,,,
3x_long_tomochain_token,TOMOBULL,0,13591.94,0.0,-1,0.0,0.0,,,,,,
3x_long_trx_token,TRXBULL,0,70637.0,0.0,-1,0.0,0.0,,,,,,
3x_long_vechain_token,VETBULL,0,194642.0,0.0,-1,0.0,0.0,,,,,,
3x_long_xrp_token,XRPBULL,0,349219.0,0.0,-1,0.0,0.0,,,,,,
3x_long_zcash_token,ZECBULL,0,20987.0,0.0,-1,0.0,0.0,,,,,,
3x_short_algorand_token,ALGOBEAR,0,858.46,0.0,-1,0.0,0.0,,,,,,
3x_short_altcoin_index_token,ALTBEAR,0,39238.0,0.0,-1,0.0,0.0,,,,,,
3x_short_balancer_token,BALBEAR,0,3548.68,0.0,-1,0.0,0.0,,,,,,
3x_short_bilira_token,TRYBBEAR,0,0.0,0.0,-1,0.0,0.0,,,,,,
3x_short_bitcoin_cash_token,BCHBEAR,0,20329.0,0.0,-1,0.0,0.0,,,,,,
3x_short_bitcoin_sv_token,BSVBEAR,0,34250.0,0.0,-1,0.0,0.0,,,,,,
3x_short_bitcoin_token,BEAR,0,1635082.0,0.0,-1,0.0,0.0,,,,,,
3x_short_bitmax_token_token,BTMXBEAR,0,0.0,0.0,-1,0.0,0.0,,,,,,
3x_short_bnb_token,BNBBEAR,0,7070.19,0.0,-1,0.0,0.0,,,,,,
3x_short_cardano_token,ADABEAR,0,80107.0,0.0,-1,0.0,0.0,,,,,,
3x_short_chainlink_token,LINKBEAR,0,206608.0,0.0,-1,0.0,0.0,,,,,,
3x_short_cosmos_token,ATOMBEAR,0,10666.11,0.0,-1,0.0,0.0,,,,,,
3x_short_defi_index_token,DEFIBEAR,0,22047.0,0.0,-1,0.0,0.0,,,,,,
3x_short_dragon_index_token,DRGNBEAR,0,594.04,0.0,-1,0.0,0.0,,,,,,
3x_short_eos_token,EOSBEAR,0,130445.0,0.0,-1,0.0,0.0,,,,,,
3x_short_ethereum_classic_token,ETCBEAR,0,636.95,0.0,-1,0.0,0.0,,,,,,
3x_short_ethereum_token,ETHBEAR,0,223453.0,0.0,-1,0.0,0.0,,,,,,
3x_short_exchange_token_index_token,EXCHBEAR,0,2961.33,0.0,-1,0.0,0.0,,,,,,
3x_short_huobi_token_token,HTBEAR,0,10644.49,0.0,-1,0.0,0.0,,,,,,
3x_short_kyber_network_token,KNCBEAR,0,28951.0,0.0,-1,0.0,0.0,,,,,,
3x_short_leo_token,LEOBEAR,0,0.0,0.0,-1,0.0,0.0,,,,,,
3x_short_litecoin_token,LTCBEAR,0,23031.0,0.0,-1,0.0,0.0,,,,,,
3x_short_midcap_index_token,MIDBEAR,0,3195.28,0.0,-1,0.0,0.0,,,,,,
3x_short_okb_token,OKBBEAR,0,3454.87,0.0,-1,0.0,0.0,,,,,,
3x_short_pax_gold_token,PAXGBEAR,0,0.0,0.0,-1,0.0,0.0,,,,,,
3x_short_privacy_index_token,PRIVBEAR,0,2490.92,0.0,-1,0.0,0.0,,,,,,
3x_short_shitcoin_index_token,BEARSHIT,0,873.47,0.0,-1,0.0,0.0,,,,,,
3x_short_stellar_token,XLMBEAR,0,26417.0,0.0,-1,0.0,0.0,,,,,,
3x_short_tether_token,USDTBEAR,0,0.0,0.0,-1,0.0,0.0,,,,,,
3x_short_tezos_token,XTZBEAR,0,330991.0,0.0,-1,0.0,0.0,,,,,,
3x_short_trx_token,TRXBEAR,0,25580.0,0.0,-1,0.0,0.0,,,,,,
3x_short_xrp_token,XRPBEAR,0,37618.0,0.0,-1,0.0,0.0,,,,,,
3x_short_zcash_token,ZECBEAR,0,12028.01,0.0,-1,0.0,0.0,,,,,,
42-coin,42,0,3144.94,3165075.0,1338,0.001,2.08e-06,,,,,,
420x,420X,0,576.6,0.0,-1,0.0,0.0,,,,,,
484_fund,ERROR,0,0.0,38012.0,2710,0.0,2.5e-08,,,,,,
4art_coin,4ART,0,192240.0,0.0,-1,0.0,0.0,,,,,,
4new,KWATT,0,2156.57,67158.0,2597,0.032,4.41e-08,,,,,,
4thpillar_technologies,FOUR,0,128025.0,1224925.0,1741,0.105,8.05e-07,,,,,,
50_keeper,50K,0,13927.74,0.0,-1,0.0,0.0,,,,,,
502_bad_gateway_token,Z502,0,0.0,0.0,-1,0.0,0.0,,,,,,
50cent,50C,0,23120.0,276800.0,2273,0.084,1.82e-07,,,,,,
5g-cash,VGC,0,0.448997,0.0,-1,0.0,0.0,,,,,,
7chain,VII,0,0.0,0.0,-1,0.0,0.0,,,,,,
7eleven,7E,0,0.07741243086,0.0,-1,0.0,0.0,,,,,,
7plus_coin,SV7,0,10.85,0.0,-1,0.0,0.0,,,,,,
808ta_token,808TA,0,6313.16,0.0,-1,0.0,0.0,,,,,,
888tron,888,0,4104.3,0.0,-1,0.0,0.0,,,,,,
88mph,MPH,0,473082.0,12660639.0,791,0.037,8.32e-06,,,,,,
8ball_finance,8BALL,0,0.0,0.0,-1,0.0,0.0,,,,,,
8pay,8PAY,0,24016.0,1147655.0,1757,0.021,7.54e-07,,,,,,
8x8_protocol,EXE,0,381652.0,0.0,-1,0.0,0.0,,,,,,
99masternodes,NMN,0,0.0,0.0,-1,0.0,0.0,,,,,,
a2dao,ATD,0,195819.0,0.0,-1,0.0,0.0,,,,,,
aaa_coin,AAA,0,0.0,0.0,-1,0.0,0.0,,,,,,
aaachain,AAA,0,11776.97,869642.0,1853,0.014,5.72e-07,,,,,,
aave,AAVE,0,478216834.0,4107000894.0,27,0.116,0.0026990962,,,,,,
aave_[old],LEND,0,34863.0,178873032.0,210,0.0,0.0001175543,,,,,,
aave_balancer_pool_token,ABPT,0,0.0,0.0,-1,0.0,0.0,,,,,,
aave_bat,ABAT,0,0.0,0.0,-1,0.0,0.0,,,,,,
aave_busd,ABUSD,0,0.0,0.0,-1,0.0,0.0,,,,,,
aave_dai,ADAI,0,0.0,0.0,-1,0.0,0.0,,,,,,
aave_dai_v1,ADAI,0,1931256.0,0.0,-1,0.0,0.0,,,,,,
aave_enj,AENJ,0,0.0,0.0,-1,0.0,0.0,,,,,,
aave_knc,AKNC,0,0.0,0.0,-1,0.0,0.0,,,,,,
aave_link,ALINK,0,0.0,0.0,-1,0.0,0.0,,,,,,
aave_link_v1,ALINK,0,9708636.0,0.0,-1,0.0,0.0,,,,,,
aave_mana,AMANA,0,0.0,0.0,-1,0.0,0.0,,,,,,
aave_mkr,AMKR,0,0.0,0.0,-1,0.0,0.0,,,,,,
aave_mkr_v1,AMKR,0,1986299.0,0.0,-1,0.0,0.0,,,,,,
aave_ren,AREN,0,0.0,0.0,-1,0.0,0.0,,,,,,
aave_snx,ASNX,0,0.0,0.0,-1,0.0,0.0,,,,,,
aave_susd,ASUSD,0,0.0,0.0,-1,0.0,0.0,,,,,,
aave_tusd,ATUSD,0,0.0,0.0,-1,0.0,0.0,,,,,,
aave_tusd_v1,ATUSD,0,4273626.0,0.0,-1,0.0,0.0,,,,,,
aave_usdc,AUSDC,0,0.0,0.0,-1,0.0,0.0,,,,,,
aave_usdt,AUSDT,0,0.0,0.0,-1,0.0,0.0,,,,,,
aave_wbtc,AWBTC,0,0.0,0.0,-1,0.0,0.0,,,,,,
aave_wbtc_v1,AWBTC,0,7603543.0,0.0,-1,0.0,0.0,,,,,,
aave_zrx,AZRX,0,0.0,0.0,-1,0.0,0.0,,,,,,
aavegotchi,GHST,0,31814824.0,39011076.0,476,0.816,2.56e-05,,,,,,
abc_chain,ABC,0,1882869167.0,0.0,-1,0.0,0.0,,,,,,
abcc_token,AT,0,0.0,1143432.0,1758,0.0,7.52e-07,,,,,,
abcd_token,ABCD,0,70.64,0.0,-1,0.0,0.0,,,,,,
abitshadow_token,ABST,0,226.6,7075.6,2878,0.032,4.7e-09,,,,,,
able_x_token,ABLX,0,0.0,131484.0,2462,0.0,8.64e-08,,,,,,
absolute,ABS,0,4.72,82983.0,2577,0.0,5.45e-08,,,,,,
absorber,ABS,0,843.3,0.0,-1,0.0,0.0,,,,,,
abulaba,AAA,0,0.0,0.0,-1,0.0,0.0,,,,,,
abyss,ABYSS,0,173472.0,7717779.0,956,0.022,5.07e-06,,,,,,
ac_milan_fan_token,ACM,0,3527010.0,12291817.0,797,0.287,8.08e-06,,,,,,
acash_coin,ACA,0,0.001361117668,0.0,-1,0.0,0.0,,,,,,
acdx_exchange_token,ACXT,0,130390.0,2109922.0,1498,0.062,1.39e-06,,,,,,
ace_entertainment,ACE,0,0.0,0.0,-1,0.0,0.0,,,,,,
aced,ACED,0,8314.18,56509.0,2634,0.147,3.71e-08,,,,,,
acent,ACE,0,3738779.0,0.0,-1,0.0,0.0,,,,,,
achain,ACT,0,2269930.0,7214080.0,988,0.315,4.74e-06,,,,,,
achain_coin,AC,0,0.0,0.0,-1,0.0,0.0,,,,,,
acoconut,AC,0,101432.0,538754.0,2056,0.188,3.54e-07,,,,,,
acoin,ACOIN,0,13.74,0.0,-1,0.0,0.0,,,,,,
acreage_coin,ACR,0,68305.0,0.0,-1,0.0,0.0,,,,,,
acryl,ACRYL,0,0.0,0.0,-1,0.0,0.0,,,,,,
acryptos,ACS,0,3612.15,16313016.0,710,0.0,1.07e-05,,,,,,
acryptosi,ACSI,0,644.34,0.0,-1,0.0,0.0,,,,,,
actinium,ACM,0,22338.0,853949.0,1860,0.026,5.61e-07,,,,,,
action_coin,ACTN,0,0.0,0.0,-1,0.0,0.0,,,,,,
activeightcoin,ACTIV,0,179.48,0.0,-1,0.0,0.0,,,,,,
acute_angle_cloud,AAC,0,293136.0,0.0,-1,0.0,0.0,,,,,,
ad_flex_token,ADF,0,0.0,0.0,-1,0.0,0.0,,,,,,
adamant,ADDY,0,725331.0,0.0,-1,0.0,0.0,,,,,,
adamant_messenger,ADM,0,670.91,1480730.0,1656,0.0,9.73e-07,,,,,,
adappter_token,ADP,0,2202604.0,22712402.0,615,0.097,1.49e-05,,,,,,
adax,ADAX,0,1129436.0,10867757.0,834,0.104,7.14e-06,,,,,,
adbank,ADB,0,55455.0,1969492.0,1524,0.028,1.29e-06,,,,,,
add.xyz_(new),ADD,0,5783.8,1278072.0,1713,0.005,8.4e-07,,,,,,
add.xyz_(old),PLT,0,0.0,170961.0,2396,0.0,1.12e-07,,,,,,
addax,ADX,0,2638.56,0.0,-1,0.0,0.0,,,,,,
adelphoi,ADL,0,1.81,0.0,-1,0.0,0.0,,,,,,
adex,ADX,0,4037032.0,46012701.0,436,0.088,3.02e-05,,,,,,
aditus,ADI,0,5787.77,137066.0,2446,0.042,9.01e-08,,,,,,
adshares,ADS,0,159513.0,7573102.0,974,0.021,4.98e-06,,,,,,
adtoken,ADT,0,619.77,853056.0,1861,0.001,5.61e-07,,,,,,
advanced_integrated_blocks,AIB,0,5172.57,69415.0,2595,0.075,4.56e-08,,,,,,
advanced_technology_coin,ARC,0,0.0,11673.82,2847,0.0,7.7e-09,,,,,,
adventure_token,TWA,0,0.0,445087.0,2116,0.0,2.93e-07,,,,,,
advertise_coin,ADCO,0,2094.72,1502168.0,1651,0.001,9.87e-07,,,,,,
advertisingcoin,ADVC,0,0.0,0.0,-1,0.0,0.0,,,,,,
adzcoin,ADZ,0,0.0,137228.0,2450,0.0,9.02e-08,,,,,,
aegis,AGS,0,137295.0,81026.0,2564,1.694,5.32e-08,,,,,,
aelf,ELF,0,22224167.0,103697727.0,286,0.214,6.81e-05,,,,,,
aen_smart_token,AENS,0,225325.0,0.0,-1,0.0,0.0,,,,,,
aeneas,ASH,0,2013.83,0.0,-1,0.0,0.0,,,,,,
aeon,AEON,0,3412.12,0.0,-1,0.0,0.0,,,,,,
aerdrop,AER,0,98297.0,0.0,-1,0.0,0.0,,,,,,
aergo,AERGO,0,12129438.0,46282384.0,434,0.262,3.04e-05,,,,,,
aeron,ARNX,0,3136.1,129316.0,2437,0.024,8.5e-08,,,,,,
aerotoken,AET,0,0.0,14861.24,2827,0.0,9.8e-09,,,,,,
aerotyne,ATYNE,0,450.33,0.0,-1,0.0,0.0,,,,,,
aeryus,AER,0,1014.07,109926.0,2498,0.009,7.22e-08,,,,,,
aeternity,AE,0,5768423.0,38800242.0,479,0.149,2.55e-05,,,,,,
aeur,AEUR,0,0.0,0.0,-1,0.0,0.0,,,,,,
aezora,AZR,0,248.71,1616512.0,1614,0.0,1.06e-06,,,,,,
afen_blockchain,AFEN,0,1165.11,1085164.0,1769,0.001,7.13e-07,,,,,,
africa_to_mars,ATM,0,884578.0,0.0,-1,0.0,0.0,,,,,,
africa_trading_chain,ATT,0,88.8,0.0,-1,0.0,0.0,,,,,,
afro,AFRO,0,0.0,0.0,-1,0.0,0.0,,,,,,
afrodex,AFROX,0,0.0,0.0,-1,0.0,0.0,,,,,,
afrodex_labs_token,AFDLT,0,0.0,0.0,-1,0.0,0.0,,,,,,
aga_carbon_credit,AGAC,0,665.95,0.0,-1,0.0,0.0,,,,,,
aga_carbon_rewards,ACAR,0,583.62,0.0,-1,0.0,0.0,,,,,,
aga_rewards,AGAR,0,2129.9,4472694.0,1187,0.0,2.94e-06,,,,,,
aga_token,AGA,0,8521.06,5489860.0,1102,0.002,3.61e-06,,,,,,
agave_token,AGVE,0,17931.95,6205110.0,1051,0.003,4.08e-06,,,,,,
agavecoin,AGVC,0,11792.05,0.0,-1,0.0,0.0,,,,,,
agenor,AGE,0,80.52,0.0,-1,0.0,0.0,,,,,,
aggregator_network,AGGT,0,859.53,0.0,-1,0.0,0.0,,,,,,
agoras_token,AGRS,0,9189.1,0.0,-1,0.0,0.0,,,,,,
agouti,AGU,0,0.0,18096.2,2809,0.0,1.19e-08,,,,,,
agrello,DLT,0,84361.0,5303642.0,1124,0.016,3.49e-06,,,,,,
agrichain,AGRI,0,0.0,0.0,-1,0.0,0.0,,,,,,
