name,symbol,circulating-supply,market-cap,24h-price-change,7d-price-change,price,volume
Bitcoin,BTC,"18,740,381 BTC","$605.17B $605,174,000,668",2.46%,19.91%,"$32,292.51 ","$50,231,911,621 1,555,528 BTC"
Ethereum,ETH,"116,391,204 ETH","$223.00B $223,002,983,124",5.11%,26.82%,"$1,915.98 ","$32,774,116,577 17,105,685 ETH"
Tether,USDT,"62,491,895,046 USDT","$62.51B $62,508,062,343",0.07%,0.03%,$1.00 ,"$88,655,674,576 88,632,744,371 USDT"
Binance Coin,BNB,"153,432,897 BNB","$42.06B $42,059,779,126",14.00%,27.19%,$274.12 ,"$3,067,140,944 11,188,844 BNB"
Cardano,ADA,"31,946,328,269 ADA","$37.28B $37,276,568,852",11.92%,27.11%,$1.17 ,"$4,371,969,844 3,746,814,370 ADA"
XRP,XRP,"46,205,772,880 XRP","$27.85B $27,849,951,162",13.76%,32.53%,$0.60 ,"$4,118,042,900 6,832,232,984 XRP"
Dogecoin,DOGE,"130,129,604,530 DOGE","$25.50B $25,504,005,102",23.90%,40.33%,$0.20 ,"$7,393,331,134 37,723,143,982 DOGE"
USD Coin,USDC,"25,037,717,943 USDC","$25.05B $25,048,733,805",0.04%,0.00%,$1.00 ,"$3,970,289,939 3,968,543,896 USDC"
Polkadot,DOT,"954,111,588 DOT","$14.95B $14,953,043,091",13.97%,37.11%,$15.67 ,"$2,403,818,852 153,380,914 DOT"
Binance USD,BUSD,"9,765,790,922 BUSD","$9.77B $9,768,513,748",0.05%,0.02%,$1.00 ,"$6,606,495,506 6,604,654,045 BUSD"
Uniswap,UNI,"575,171,206 UNI","$9.28B $9,282,766,131",11.79%,33.68%,$16.14 ,"$554,082,473 34,331,608 UNI"
Bitcoin Cash,BCH,"18,769,950 BCH","$8.47B $8,468,671,407",10.65%,30.06%,$451.18 ,"$2,124,550,590 4,708,851 BCH"
Litecoin,LTC,"66,752,415 LTC","$8.40B $8,396,729,924",10.18%,30.01%,$125.79 ,"$2,976,265,262 23,660,746 LTC"
Chainlink,LINK,"434,009,554 LINK","$7.59B $7,588,508,442",9.48%,32.86%,$17.48 ,"$1,843,559,321 105,438,686 LINK"
Polygon,MATIC,"6,293,422,325 MATIC","$7.12B $7,124,988,930",13.42%,32.80%,$1.13 ,"$1,693,378,574 1,495,742,187 MATIC"
Solana,SOL,"272,637,428 SOL","$7.00B $6,997,092,285",17.85%,38.06%,$25.66 ,"$787,457,875 30,682,815 SOL"
THETA,THETA,"1,000,000,000 THETA","$6.64B $6,642,034,314",15.64%,27.59%,$6.64 ,"$428,343,709 64,489,837 THETA"
Wrapped Bitcoin,WBTC,"191,825 WBTC","$6.21B $6,207,886,191",1.96%,19.78%,"$32,362.29 ","$351,628,382 10,865 WBTC"
Stellar,XLM,"23,170,089,343 XLM","$5.62B $5,620,310,088",11.03%,30.42%,$0.24 ,"$728,142,323 3,001,813,497 XLM"
Dai,DAI,"5,095,016,950 DAI","$5.10B $5,101,509,329",0.07%,0.05%,$1.00 ,"$615,286,336 614,503,299 DAI"
Internet Computer,ICP,"128,985,798 ICP","$4.87B $4,865,403,158",11.70%,43.55%,$37.72 ,"$250,933,684 6,652,456 ICP"
VeChain,VET,"64,315,576,989 VET","$4.78B $4,780,803,809",16.28%,35.43%,$0.07 ,"$797,508,652 10,728,787,701 VET"
Ethereum Classic,ETC,"116,313,299 ETC","$4.53B $4,526,097,819",15.17%,34.77%,$38.91 ,"$2,553,713,105 65,626,243 ETC"
Filecoin,FIL,"81,000,389 FIL","$3.85B $3,854,578,870",17.05%,36.26%,$47.59 ,"$1,397,487,831 29,366,907 FIL"
TRON,TRX,"71,659,657,369 TRX","$3.85B $3,852,630,167",13.67%,25.74%,$0.05 ,"$1,653,921,008 30,763,246,815 TRX"
Monero,XMR,"17,937,042 XMR","$3.81B $3,812,671,605",14.23%,24.66%,$212.56 ,"$365,990,576 1,721,834 XMR"
EOS,EOS,"954,460,054 EOS","$3.37B $3,374,602,221",12.78%,33.90%,$3.54 ,"$1,597,279,437 451,768,629 EOS"
Amp,AMP,"42,227,702,186 AMP","$2.79B $2,789,966,996",17.78%,20.02%,$0.07 ,"$117,594,775 1,779,862,328 AMP"
Aave,AAVE,"12,801,283 AAVE","$2.64B $2,640,364,249",14.22%,35.90%,$206.26 ,"$414,174,632 2,008,044 AAVE"
SHIBA INU,SHIB,"394,796,000,000,000 SHIB","$2.57B $2,567,121,945",12.22%,8.61%,$0.00 ,"$809,351,116 124,469,577,213,077 SHIB"
Algorand,ALGO,"3,088,527,730 ALGO","$2.45B $2,452,220,306",9.17%,26.74%,$0.79 ,"$205,215,921 258,465,792 ALGO"
FTX Token,FTT,"94,346,958 FTT","$2.39B $2,394,907,033",6.27%,26.01%,$25.38 ,"$89,769,107 3,536,439 FTT"
Theta Fuel,TFUEL,"5,301,214,400 TFUEL","$2.33B $2,328,887,497",21.61%,18.11%,$0.44 ,"$217,587,421 495,291,238 TFUEL"
Bitcoin BEP2,BTCB,"73,096 BTCB","$2.36B $2,360,303,261",2.36%,19.87%,"$32,290.43 ","$23,304,967 722 BTCB"
Crypto.com Coin,CRO,"25,263,013,692 CRO","$2.33B $2,332,946,510",5.69%,22.11%,$0.09 ,"$59,653,258 645,973,265 CRO"
PancakeSwap,CAKE,"184,537,300 CAKE","$2.26B $2,264,743,856",16.57%,31.19%,$12.27 ,"$227,887,196 18,568,850 CAKE"
Bitcoin SV,BSV,"18,766,827 BSV","$2.27B $2,270,525,850",14.64%,30.57%,$120.99 ,"$1,086,138,453 8,977,379 BSV"
UNUS SED LEO,LEO,"953,954,130 LEO","$2.27B $2,267,457,486",6.00%,0.35%,$2.38 ,"$3,889,452 1,636,352 LEO"
Neo,NEO,"70,538,831 NEO","$2.24B $2,240,085,095",20.67%,38.37%,$31.76 ,"$573,575,896 18,061,534 NEO"
Maker,MKR,"991,423 MKR","$2.14B $2,139,749,124",10.38%,33.79%,"$2,158.26 ","$135,198,290 62,642 MKR"
Tezos,XTZ,"850,130,791 XTZ","$2.13B $2,127,687,220",11.37%,25.63%,$2.50 ,"$133,598,211 53,380,004 XTZ"
IOTA,MIOTA,"2,779,530,283 MIOTA","$2.09B $2,088,234,086",12.18%,35.66%,$0.75 ,"$80,918,619 107,706,197 MIOTA"
